Metric,x10 Only (w=1.0),x20 Only (w=0.0),Fused (w=0.50)
Accuracy,0.7931034482758621,0.8275862068965517,0.8620689655172413
Sensitivity (MF),0.7777777777777778,0.9444444444444444,0.9722222222222222
Specificity (MF),0.8181818181818182,0.6363636363636364,0.6818181818181818
Precision (MF),0.875,0.8095238095238095,0.8333333333333334
F2-Score (MF),0.7954545454545454,0.9139784946236559,0.9408602150537635
Sensitivity (Non-MF),0.8181818181818182,0.6363636363636364,0.6818181818181818
Specificity (Non-MF),0.7777777777777778,0.9444444444444444,0.9722222222222222
Precision (Non-MF),0.6923076923076923,0.875,0.9375
F2-Score (Non-MF),0.7894736842105263,0.6730769230769231,0.7211538461538461
ROC-AUC,0.9015151515151516,0.8345959595959597,0.912878787878788
Brier Score,0.14110483338633734,0.1370642644775523,0.1163790068224923
